"Mô tả","Số lượng"
"Bước 0: run app","787"
"Bước 1: check eligible","392"
"Bước 1.1: nhấn tiếp tục ở m.h số 2","312"
"Bước 1.2: không bật cam do deny bật cam","53"
"Bước 1.3: không detect được cam","22"
"Bước 2: chụp mặt trước","101"
"Bước 2.1: chụp mặt trước FAIL","5"
"Bước 3: chụp mặt sau","91"
"Bước 4: chụp khuôn mặt","72"
"Bước 5: chấm điểm khuôn mặt","66"
"Bước 6: lưu ekyc logs","61"
"Bước 7: đi đến m.h xác nhận tt","61"
"Bước 8: đi đến m.h xác nhận bổ sung","60"
"Bước 9: đi đến m.h mật khẩu","44"
"Bước 10: nhập mật khẩu và gửi otp","44"
"Bước 11: tạo tài khoản","45"
"bị stuck khi ekyc quá 10 lần","0"
